type;date;position;game;org;to_name;notes;prize;comments
ֳזהבַםה;18-Mar-19;דװַׁßֹ;R6S;@ChallengeArena_;;בבַ׃Ý בד הÊֳוב בבּזבֹ ַבַֻהםו דה ָ״זבֹ @ChallengeArena_  ָ׃ָָ Ûב״ ַׁ׃ַב דבÝַÊ MOSS הÚÊ׀ׁ דהßד בבַÚבַה ַָבÝזׂ ;;
;3-Feb-19;ַבַÚÊדַֿ;;@SAFEISKSA;;ָÝײב ַבבו Êד ÊזֻםÞהַ ßהַֿם ֵבßÊׁזהם ׁ׃דם דה Þָב @SAFEISKSA הװßׁ ױַָֽ ַב׃דז ַבדבßם ַבֳדםׁ Ýםױב ָה ָהֿׁ  ַָבֵײַÝֹ ֵבל ַבÚַדבםה Úבל ו׀ַ ַבֵÊַֽֿ ַבֶׁם׃ ַבÊהÝם׀ם בבֵÊַֽֿ ַבֳ׃Êַ׀ @turkialfawzan זֶׁם׃ בּהֹ ַבׁםַײֹ ַבֵבßÊׁזהםֹ ַבֳ׃Êַ׀ @Saad_Alsmari;;
;25-Jan-19;ַבדׁßׂ ַבַֽֿם Úװׁ;;@SAFEISKSA;;ַבדׁßׂ ַבַֽֿם Úװׁ Ýם #ּזֶַׂ_ַבׁםַײַÊ_ַבֵבßÊׁזהםֹ_2018;;
ֳזהבַםה;11-Jan-19;דװַׁßֹ;R6S;@CSLesports;;ָÚֿ Úֿד ֽײזׁ ַב־ױד , םÊֳוב ÝׁםÞהַ ַב־ַױ ָ בÚָֹ #RainbowSixSiege דה ָ״זבֹ ßֳ׃ ַבדּÊדÚ @CSLesports  ַבל ֿזׁ ַב 8 זםבÚָ Ûַֿ ײֿ ÝׁםÞ @RedemEsports Good Luck @HazardousES #Hz ;;
ֳזהבַםה;8-Jan-19;ֿזׁ ַב 32;Overwatch;@ChallengeArena_;;םבÚָ ÝׁםÞהַ ַב־ַױ ָ בÚָֹ #ַזÝׁזַÊװ ײֿ ÝׁםÞ @RedemEsports ײדה ַבָ״זבֹ ַבדÞֿדֹ דה  @ChallengeArena_ Ýם ַבֿזׁ ַב32 דה ַבָ״זבֹ ;;
