org;game;type;id;start_date;end_date;teams;M/F;players;1st;2nd;3rd;4th;5th;6th;7th;8th;prize1;prize2;prize3;prize_total;currency;consule;sponsor;tournament_name;vs
NAFS;COD BO 4;tourney;20;16-Mar-19;17-Mar-19;8;;;RevSolTeam;POWReSports;;;;;;;;;;50;point;PS4;;»ÿÊ·… «·√”»Ê⁄ «·À«‰Ì ··„—«ﬂ“ «·À„«‰Ì…;
NAFS;COD BO 4;tourney;21;9-Mar-19;11-Mar-19;8;;;RevSolTeam;ASMReSports;;;;;;;;;;50;point;PS4;;»ÿÊ·… «·√”»Ê⁄ «·√Ê· ··„—«ﬂ“ «·À„«‰Ì…;
NAFS;COD BO 4;tourney;22;21-Nov-18;25-Nov-18;64;;;OshTekkWarriors;TTEx;;;;;;;;;;150;point;PS4;;»ÿÊ·… S&D ·‘Â— ‰Ê›„»—;
NAFS;Overwatch;tourney;23;31-Mar-18;8-Apr-18;16;;;RsOW;R2A;;;;;;;;;;500;point;PS4;;«·»ÿÊ·… «·À«‰Ì…;
NAFS;Overwatch;tourney;24;19-Jun-17;23-Jun-17;64;;;IFuL;OWM;;;;;;;;;;240;$;PS4;;»ÿÊ·… iCoChampion;
NAFS;Overwatch;tourney;25;7-Mar-17;15-Mar-17;32;;;IFuL;Get;;;;;;;;;;150;point;PS4;;«·»ÿÊ·… «·√Ê·Ï;
NAFS;Fortnite;tourney;26;18-Jun-19;26-Jun-19;256;;;TR-2;QLRGaming;;;;;;;;;;250;point;PC;;»ÿÊ·… ›Ê— ‰«Ì  ‰«›”;
NAFS;Fortnite;league;27;1-Jun-19;30-Jun-19;941;;;WoLzeSports;WoRzeSports;WoRzeSports;BLx1;iSad;BRTH;OWLEsport;Redemption eSports;;;;250;point;PC;;#œÊ—Ì_‰«›” ‘Â— ÌÊ‰ÌÊ;
NAFS;Fortnite;tourney;28;28-May-19;3-Jun-19;128;;;OshTekkWarriors;Redemption eSports;;;;;;;;;;250;point;PS4;;»ÿÊ·… ›Ê— ‰«Ì  «·—„÷«‰Ì…;
NAFS;Fortnite;tourney;29;10-May-19;14-May-19;32;;;NRk;WoRzeSports;;;;;;;;;;250;point;PC;;»ÿÊ·… À‰«∆Ì«  ›Ê— ‰«Ì  (PC) ‰«›” «·—„÷«‰Ì…;2vs2
NAFS;Fortnite;league;30;6-May-19;31-May-19;1402;;;ASMReSports;WoRzeSports;ASMReSports;WoRzeSports;OshTekkWarriors;TR-2;SquallEsports;Redemption eSports;;;;250;point;PS4;;œÊ—Ì ›Ê— ‰«Ì  «·—„÷«‰Ì;
NAFS;Fortnite;league;31;1-Mar-19;31-Mar-19;1684;;;N7ReSports;tsq3_;tsq3_;tsq3_;tsq3_;iSad;Alpha esports;ASMReSports;;;;1000;SR;PC;;œÊ—Ì SOLO ° DUO ·‘Â— „«—”;
NAFS;Fortnite;league;32;1-Feb-19;28-Feb-19;1385;;;WoRzeSports;WoRzeSports;CW;FMKeSports;iSad;N7ReSports;oF_eSports;FMKeSports;;;;1000;SR;PS4;;#œÊ—Ì_‰«›” ‘Â— ›»—«Ì—;
NAFS;Fortnite;tourney;33;24-Jan-19;6-Feb-19;59;;;Cocodrilos Esport;SquallEsports;;;;;;;;;;50;$;PC;;»ÿÊ·… À‰«∆Ì« ;2vs2
NAFS;Fortnite;league;34;1-Jan-19;31-Jan-19;1262;;;N7ReSports;TMsp;D-W;N7ReSports;N7ReSports;AGReSports;Q7u2;oDiEeSports;;;;34000;VB;PS4;;œÊ—Ì À‰«∆Ì«  ‘Â— Ì‰«Ì—;2vs2
NAFS;Fortnite;tourney;35;28-Dec-18;6-Jan-19;255;;;SquallEsports;POWReSports;;;;;;;;;;1000;SR;PS4;;»ÿÊ·… ‰Ê‰ √ﬂ«œÌ„Ì;
NAFS;Fortnite;league;36;1-Dec-18;31-Dec-18;757;;;SquallEsports;WoRzeSports;OshTekkWarriors;oDiEeSports;oDiEeSports;POWReSports;POWReSports;OshTekkWarriors;;;;40;$;PS4;;œÊ—Ì À‰«∆Ì«  ‘Â— œÌ”„»—;2vs2
NAFS;Fortnite;league;37;1-Oct-18;31-Oct-18;335;;;WoRzeSports;oDiEeSports;Roix;So1G;Rioz;KRZ;1DK;xNT;;;;40;$;PS4;;œÊ—Ì À‰«∆Ì«  ‘Â— √ﬂ Ê»—;2vs2
NAFS;Fortnite;league;38;1-Sep-18;30-Sep-18;620;;;4DxeSports;N7ReSports;PFx;WoRzeSports;2Fun;4Dxv;XA;POWReSports;;;;40;$;PS4;;œÊ—Ì À‰«∆Ì«  ‘Â— ”» „»—;2vs2
NAFS;Fortnite;league;39;1-Aug-18;31-Aug-18;791;;;OshTekkWarriors;xiTp;SR;liol;Faz1;N7ReSports;SquallEsports;PFx;;;;100;$;PS4;;œÊ—Ì À‰«∆Ì«  ‘Â— √€”ÿ”;2vs2
NAFS;Fortnite;tourney;40;18-Jul-18;29-Jul-18;256;;;PFx;S2K;;;;;;;;;;100;$;PS4;;»ÿÊ·… À‰«∆Ì«  «·„Ê”„ «·À«‰Ì;2vs2
NAFS;Fortnite;league;41;;7-Jul-18;1008;;;OshTekkWarriors;PFx;OshTekkWarriors;TEOR;XA;TMsp;Mo5;tsq3_;;;;1000;SR;PS4;;œÊ—Ì À‰«∆Ì«  «·„Ê”„ «·√Ê·;2vs2
NAFS;Fortnite;tourney;42;3-Jun-18;10-Jun-18;128;;;tsq3_;4DxeSports;;;;;;;;;;100;$;PS4;;»ÿÊ·… À‰«∆Ì«  «·„Ê”„ «·√Ê·;2vs2
